Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,17.000000,17.000000,14.790000,15.010000,15.010000,2743200
2018-05-08,15.450000,15.450000,14.140000,14.710000,14.710000,2237900
2018-05-09,15.030000,15.340000,13.470000,14.470000,14.470000,11599400
2018-05-10,14.570000,14.690000,13.930000,13.950000,13.950000,2562000
2018-05-11,14.040000,15.125000,13.950000,14.700000,14.700000,1929500
2018-05-14,15.020000,16.049999,14.950000,15.150000,15.150000,1627600
2018-05-15,15.200000,15.270000,14.900000,15.090000,15.090000,1092800
2018-05-16,15.230000,15.440000,15.120000,15.370000,15.370000,504900
2018-05-17,16.000000,16.809999,15.600000,16.809999,16.809999,2459600
2018-05-18,16.469999,17.950001,16.469999,17.170000,17.170000,1113500
2018-05-21,16.990000,17.000000,16.160000,16.700001,16.700001,1478400
2018-05-22,16.790001,17.709999,16.719999,17.330000,17.330000,696300
