Date,Open,High,Low,Close,Adj Close,Volume
2017-11-24,1.800000,1.830000,1.700000,1.790000,1.790000,44300
2017-11-27,1.780000,1.890000,1.650000,1.800000,1.800000,117800
2017-11-28,1.790000,1.840000,1.680000,1.710000,1.710000,130200
2017-11-29,1.700000,1.850000,1.700000,1.750000,1.750000,95100
2017-11-30,1.780000,1.800000,1.710000,1.710000,1.710000,51100
2017-12-01,1.720000,1.810000,1.640000,1.770000,1.770000,73100
2017-12-04,1.790000,1.790000,1.650000,1.710000,1.710000,38100
2017-12-05,1.740000,1.750000,1.660000,1.740000,1.740000,56500
2017-12-06,1.730000,1.810000,1.700000,1.750000,1.750000,104100
2017-12-07,1.760000,1.820000,1.710000,1.790000,1.790000,76800
2017-12-08,1.790000,1.850000,1.700000,1.810000,1.810000,28900
2017-12-11,1.800000,2.100000,1.770000,1.930000,1.930000,214000
2017-12-12,1.950000,2.000000,1.910000,1.910000,1.910000,57800
2017-12-13,1.910000,2.000000,1.910000,1.980000,1.980000,73100
2017-12-14,2.000000,2.030000,1.930000,2.010000,2.010000,52100
2017-12-15,2.030000,2.050000,1.980000,2.040000,2.040000,35600
2017-12-18,2.050000,2.100000,2.020000,2.050000,2.050000,52500
2017-12-19,2.040000,2.060000,1.970000,2.000000,2.000000,37800
2017-12-20,1.980000,2.090000,1.970000,2.050000,2.050000,51800
2017-12-21,2.050000,2.060000,1.910000,1.980000,1.980000,65100
2017-12-22,1.950000,1.970000,1.910000,1.930000,1.930000,90700
2017-12-26,1.910000,1.940000,1.900000,1.920000,1.920000,9300
2017-12-27,1.900000,1.950000,1.890000,1.900000,1.900000,16900
2017-12-28,1.910000,1.960000,1.720000,1.960000,1.960000,161300
2017-12-29,1.910000,1.930000,1.800000,1.930000,1.930000,83500
2018-01-02,1.940000,1.940000,1.800000,1.800000,1.800000,15300
2018-01-03,1.800000,1.910000,1.720000,1.840000,1.840000,86700
2018-01-04,1.850000,1.860000,1.750000,1.810000,1.810000,44100
2018-01-05,1.790000,1.850000,1.750000,1.850000,1.850000,37900
2018-01-08,1.850000,1.990000,1.730000,1.870000,1.870000,76600
2018-01-09,1.820000,1.870000,1.770000,1.860000,1.860000,18700
2018-01-10,1.900000,1.900000,1.750000,1.750000,1.750000,81400
2018-01-11,1.760000,1.790000,1.520000,1.680000,1.680000,254700
2018-01-12,1.660000,1.800000,1.600000,1.650000,1.650000,129500
2018-01-16,1.650000,1.760000,1.630000,1.710000,1.710000,32200
2018-01-17,1.640000,1.720000,1.640000,1.670000,1.670000,52400
2018-01-18,1.730000,1.860000,1.610000,1.610000,1.610000,87400
2018-01-19,1.600000,1.690000,1.600000,1.670000,1.670000,27100
2018-01-22,1.660000,1.730000,1.610000,1.710000,1.710000,31900
2018-01-23,1.620000,1.680000,1.520000,1.620000,1.620000,95500
2018-01-24,1.660000,1.680000,1.620000,1.630000,1.630000,35900
2018-01-25,1.610000,1.740000,1.580000,1.650000,1.650000,69900
2018-01-26,1.650000,1.690000,1.610000,1.660000,1.660000,25500
2018-01-29,1.650000,1.650000,1.600000,1.600000,1.600000,29600
2018-01-30,1.560000,1.600000,1.460000,1.520000,1.520000,151700
2018-01-31,1.510000,1.530000,1.460000,1.500000,1.500000,27500
2018-02-01,1.450000,1.470000,1.380000,1.430000,1.430000,183900
2018-02-02,1.430000,1.500000,1.430000,1.450000,1.450000,129300
2018-02-05,1.450000,1.600000,1.450000,1.490000,1.490000,200900
2018-02-06,1.480000,1.540000,1.380000,1.520000,1.520000,48500
2018-02-07,1.510000,1.560000,1.400000,1.510000,1.510000,293500
2018-02-08,1.500000,1.530000,1.410000,1.500000,1.500000,31500
2018-02-09,1.510000,1.530000,1.450000,1.520000,1.520000,23300
2018-02-12,1.530000,1.620000,1.500000,1.510000,1.510000,73600
2018-02-13,1.530000,1.530000,1.460000,1.490000,1.490000,58900
2018-02-14,1.500000,1.540000,1.460000,1.540000,1.540000,102900
2018-02-15,1.530000,1.530000,1.400000,1.440000,1.440000,109100
2018-02-16,1.460000,1.490000,1.400000,1.470000,1.470000,18500
2018-02-20,1.470000,1.480000,1.400000,1.470000,1.470000,12600
2018-02-21,1.450000,1.450000,1.340000,1.380000,1.380000,66500
2018-02-22,1.380000,1.400000,1.360000,1.360000,1.360000,22700
2018-02-23,1.360000,1.370000,1.290000,1.350000,1.350000,42400
2018-02-26,1.340000,1.380000,1.320000,1.370000,1.370000,13600
2018-02-27,1.370000,1.400000,1.350000,1.400000,1.400000,13400
