Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,8.580000,9.240000,8.580000,9.130000,9.130000,53700
2017-10-24,9.130000,9.350000,8.800000,8.910000,8.910000,38500
2017-10-25,9.240000,9.240000,8.690000,8.800000,8.800000,21300
2017-10-26,8.690000,9.020000,8.360000,8.800000,8.800000,13000
2017-10-27,8.580000,9.130000,8.580000,9.130000,9.130000,8000
2017-10-30,10.560000,11.880000,6.820000,7.480000,7.480000,1373100
2017-10-31,7.590000,7.700000,6.710000,6.820000,6.820000,136500
2017-11-01,6.820000,6.820000,6.270000,6.710000,6.710000,127000
2017-11-02,7.040000,7.260000,6.270000,6.600000,6.600000,63100
2017-11-03,6.820000,6.820000,6.160000,6.380000,6.380000,48600
2017-11-06,6.380000,6.380000,5.830000,6.160000,6.160000,30000
2017-11-07,6.050000,6.160000,5.830000,5.830000,5.830000,53700
2017-11-08,5.830000,6.490000,5.720000,6.050000,6.050000,32700
2017-11-09,5.720000,6.160000,5.720000,5.940000,5.940000,25700
2017-11-10,5.940000,6.490000,5.830000,5.830000,5.830000,27000
2017-11-13,5.940000,6.820000,5.830000,6.270000,6.270000,126200
2017-11-14,6.600000,6.600000,6.050000,6.160000,6.160000,25700
2017-11-15,6.490000,6.490000,6.050000,6.270000,6.270000,22000
2017-11-16,6.380000,6.380000,6.160000,6.270000,6.270000,21600
2017-11-17,6.270000,6.380000,6.050000,6.160000,6.160000,15000
2017-11-20,6.050000,6.490000,6.050000,6.270000,6.270000,8700
2017-11-21,6.270000,6.380000,6.050000,6.270000,6.270000,11100
2017-11-22,6.270000,6.490000,6.050000,6.380000,6.380000,24700
2017-11-24,6.490000,6.490000,6.160000,6.380000,6.380000,6200
2017-11-27,6.160000,7.040000,6.050000,6.710000,6.710000,108400
2017-11-28,6.490000,7.040000,6.380000,6.490000,6.490000,50800
2017-11-29,6.710000,7.480000,6.160000,7.150000,7.150000,154900
2017-11-30,7.480000,7.480000,6.930000,7.040000,7.040000,47100
2017-12-01,7.370000,7.370000,6.490000,6.820000,6.820000,28800
2017-12-04,6.820000,6.930000,6.380000,6.490000,6.490000,16000
2017-12-05,6.600000,6.600000,6.380000,6.600000,6.600000,16800
2017-12-06,6.490000,6.600000,6.380000,6.490000,6.490000,16300
2017-12-07,6.380000,6.600000,6.380000,6.490000,6.490000,10300
2017-12-08,6.380000,6.600000,6.380000,6.490000,6.490000,5900
2017-12-11,6.600000,6.600000,6.160000,6.380000,6.380000,11800
2017-12-12,6.380000,6.930000,6.380000,6.490000,6.490000,21700
2017-12-13,6.490000,6.820000,6.270000,6.600000,6.600000,15600
2017-12-14,6.600000,6.710000,6.380000,6.490000,6.490000,17400
2017-12-15,6.490000,6.600000,6.490000,6.490000,6.490000,8000
2017-12-18,6.490000,6.600000,6.380000,6.490000,6.490000,17400
2017-12-19,6.380000,6.490000,6.380000,6.490000,6.490000,7700
2017-12-20,6.600000,6.600000,6.380000,6.380000,6.380000,5800
2017-12-21,6.490000,6.600000,6.160000,6.380000,6.380000,18200
2017-12-22,6.270000,6.270000,5.830000,6.270000,6.270000,18100
2017-12-26,6.050000,6.600000,5.940000,6.270000,6.270000,55200
2017-12-27,6.270000,6.380000,6.160000,6.270000,6.270000,16800
2017-12-28,6.270000,6.380000,5.940000,6.160000,6.160000,35600
2017-12-29,6.160000,6.380000,6.050000,6.270000,6.270000,14000
2018-01-02,6.050000,6.270000,5.940000,5.940000,5.940000,36500
2018-01-03,6.050000,6.270000,5.940000,6.050000,6.050000,32300
2018-01-04,6.050000,6.270000,5.940000,6.160000,6.160000,12200
2018-01-05,6.050000,6.270000,5.940000,6.160000,6.160000,11700
2018-01-08,6.050000,6.820000,6.050000,6.270000,6.270000,112900
2018-01-09,6.380000,6.600000,6.160000,6.380000,6.380000,17200
2018-01-10,6.490000,6.600000,6.270000,6.380000,6.380000,10300
2018-01-11,6.490000,6.710000,6.380000,6.600000,6.600000,15800
2018-01-12,6.820000,8.250000,6.600000,7.480000,7.480000,310000
2018-01-16,7.700000,7.700000,6.930000,7.150000,7.150000,112700
2018-01-17,7.040000,7.590000,7.040000,7.260000,7.260000,28100
2018-01-18,7.260000,7.920000,7.150000,7.370000,7.370000,39400
2018-01-19,7.480000,7.920000,7.260000,7.370000,7.370000,20200
2018-01-22,7.370000,7.590000,6.270000,6.820000,6.820000,66200
2018-01-23,6.490000,6.930000,6.490000,6.930000,6.930000,20600
2018-01-24,6.710000,7.150000,6.490000,6.710000,6.710000,26200
2018-01-25,6.710000,6.820000,6.380000,6.490000,6.490000,24700
2018-01-26,6.490000,6.710000,6.490000,6.710000,6.710000,16900
2018-01-29,6.820000,6.930000,6.490000,6.600000,6.600000,32500
2018-01-30,6.490000,6.820000,6.380000,6.380000,6.380000,23000
2018-01-31,6.380000,6.710000,6.160000,6.380000,6.380000,16500
2018-02-01,6.600000,6.930000,6.490000,6.490000,6.490000,20800
2018-02-02,6.710000,6.820000,6.380000,6.710000,6.710000,31500
2018-02-05,6.600000,7.370000,6.490000,6.930000,6.930000,51000
2018-02-06,6.930000,7.260000,6.490000,6.820000,6.820000,26700
2018-02-07,6.820000,7.920000,6.490000,7.260000,7.260000,117100
2018-02-08,8.140000,8.800000,7.480000,8.690000,8.690000,218300
2018-02-09,8.800000,9.460000,7.920000,8.360000,8.360000,272700
2018-02-12,8.580000,9.240000,8.360000,8.800000,8.800000,88800
2018-02-13,9.240000,9.240000,8.470000,9.020000,9.020000,74200
2018-02-14,9.000000,9.000000,7.650000,8.500000,8.500000,13300
2018-02-15,7.600000,8.480000,7.020000,7.780000,7.780000,28700
2018-02-16,7.610000,7.890000,5.930000,6.560000,6.560000,89300
2018-02-20,6.730000,6.730000,6.020000,6.180000,6.180000,61500
2018-02-21,6.220000,6.300000,5.620000,6.190000,6.190000,47900
2018-02-22,5.930000,6.040000,5.040000,5.900000,5.900000,29700
2018-02-23,5.660000,5.880000,5.530000,5.690000,5.690000,39700
2018-02-26,5.740000,6.280000,5.740000,5.900000,5.900000,18300
2018-02-27,5.560000,6.230000,5.500000,5.630000,5.630000,19400
2018-02-28,5.630000,6.090000,5.510000,5.590000,5.590000,25300
2018-03-01,5.500000,5.850000,5.210000,5.300000,5.300000,47500
2018-03-02,5.400000,5.500000,4.850000,4.950000,4.950000,45200
2018-03-05,4.900000,5.620000,4.900000,5.530000,5.530000,92500
2018-03-06,5.260000,6.500000,5.200000,5.870000,5.870000,96700
2018-03-07,5.930000,6.700000,5.480000,5.750000,5.750000,58200
2018-03-08,5.740000,6.100000,5.570000,5.770000,5.770000,19200
2018-03-09,5.900000,6.100000,5.560000,5.800000,5.800000,29500
2018-03-12,5.750000,6.390000,5.750000,6.110000,6.110000,108600
2018-03-13,5.750000,6.980000,5.750000,6.940000,6.940000,110900
